timestamp,frequency_GHz,phase_deg
2026-03-13T00:15:03.851255,0.1,22.48510001811883
2026-03-13T00:15:03.851255,0.11457286432160804,25.77340977533663
2026-03-13T00:15:03.851255,0.12914572864321608,29.063096306430225
2026-03-13T00:15:03.851255,0.14371859296482414,32.354003065088364
2026-03-13T00:15:03.851255,0.15829145728643218,35.64600548444605
2026-03-13T00:15:03.851255,0.17286432160804022,38.93900207687852
2026-03-13T00:15:03.851255,0.18743718592964825,42.23290855916207
2026-03-13T00:15:03.851255,0.2020100502512563,45.5276538171222
2026-03-13T00:15:03.851255,0.21658291457286433,48.823177041568215
2026-03-13T00:15:03.851255,0.23115577889447236,52.11942563903585
2026-03-13T00:15:03.851255,0.2457286432160804,55.416353671804245
2026-03-13T00:15:03.851255,0.26030150753768844,58.71392066947601
2026-03-13T00:15:03.851255,0.27487437185929653,62.01209070769073
2026-03-13T00:15:03.851255,0.2894472361809045,65.3108316828584
2026-03-13T00:15:03.851255,0.3040201005025126,68.61011473342114
2026-03-13T00:15:03.851255,0.3185929648241206,71.90991377239288
2026-03-13T00:15:03.851255,0.3331658291457287,75.2102051056604
2026-03-13T00:15:03.851255,0.34773869346733666,78.51096711723085
2026-03-13T00:15:03.851255,0.36231155778894475,81.81218000736862
2026-03-13T00:15:03.851255,0.37688442211055273,85.11382557296201
2026-03-13T00:15:03.851255,0.3914572864321608,88.41588702191984
2026-03-13T00:15:03.851255,0.4060301507537688,91.71834881527366
2026-03-13T00:15:03.851255,0.4206030150753769,95.02119653198451
2026-03-13T00:15:03.851255,0.4351758793969849,98.32441675252494
2026-03-13T00:15:03.851255,0.44974874371859297,101.62799695807917
2026-03-13T00:15:03.851255,0.46432160804020106,104.93192544283102
2026-03-13T00:15:03.851255,0.47889447236180904,108.23619123728986
2026-03-13T00:15:03.851255,0.49346733668341713,111.5407840409498
2026-03-13T00:15:03.851255,0.5080402010050251,114.84569416292015
2026-03-13T00:15:03.851255,0.5226130653266332,118.15091246939573
2026-03-13T00:15:03.851255,0.5371859296482412,121.45643033695978
2026-03-13T00:15:03.851255,0.5517587939698493,124.76223961100095
2026-03-13T00:15:03.851255,0.5663316582914573,128.06833256849495
2026-03-13T00:15:03.851255,0.5809045226130654,131.3747018846525
2026-03-13T00:15:03.851255,0.5954773869346733,134.68134060288412
2026-03-13T00:15:03.851255,0.6100502512562814,137.98824210774728
2026-03-13T00:15:03.851255,0.6246231155778894,141.29540010045457
2026-03-13T00:15:03.851255,0.6391959798994975,144.6028085766775
2026-03-13T00:15:03.851255,0.6537688442211055,147.9104618063784
2026-03-13T00:15:03.851255,0.6683417085427136,151.21835431544605
2026-03-13T00:15:03.851255,0.6829145728643216,154.52648086892714
